[GET] http://127.0.0.1:8010/kappaalphaorder/api/auth/me => [401] Unauthorized
[POST] http://127.0.0.1:8010/kappaalphaorder/api/auth/login => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/interests => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/pnms => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/users?role=all&sort=location => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/dashboard/command-center?window_hours=72&limit=30 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/matching => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/analytics/overview => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/leaderboard/pnms?limit=250 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/calendar/share => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/lunches/scheduled?limit=200 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/rush-calendar?limit=600 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/tasks/weekly => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/notifications?limit=120 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/chat/officer?limit=220 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/chat/officer/stats => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/users/pending => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/admin/rush-officers => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/assignments/mine => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/admin/season/archive => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/pnms => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/users?role=all&sort=location => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/dashboard/command-center?window_hours=72&limit=30 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/matching => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/analytics/overview => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/leaderboard/pnms?limit=250 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/assignments/mine => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/notifications?limit=120 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/pnms => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/users?role=all&sort=location => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/dashboard/command-center?window_hours=72&limit=30 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/matching => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/analytics/overview => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/leaderboard/pnms?limit=250 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/assignments/mine => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/notifications?limit=120 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/pnms => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/users?role=all&sort=location => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/dashboard/command-center?window_hours=72&limit=30 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/matching => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/analytics/overview => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/leaderboard/pnms?limit=250 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/assignments/mine => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/notifications?limit=120 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/pnms => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/users?role=all&sort=location => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/dashboard/command-center?window_hours=72&limit=30 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/matching => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/analytics/overview => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/leaderboard/pnms?limit=250 => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/assignments/mine => [200] OK
[GET] http://127.0.0.1:8010/kappaalphaorder/api/notifications?limit=120 => [200] OK
